   50																																																		
CWxx038     	0.00000	0.01572	0.03807	0.07927	0.16446	0.08043	0.01707	0.16131	0.01582	0.01505	0.18366	0.03682	0.01590	0.16911	0.01486	0.01563	0.01557	0.01529	0.19821	0.16497	0.01454	0.01527	0.16890	0.03529	0.15702	0.01656	0.15424	0.08040	0.17150	0.01581	0.03755	0.15571	0.04598	0.16417	0.20718	0.03819	0.03626	0.01582	0.16580	0.16907	0.01546	0.16752	0.03842	0.16654	0.03541	0.01511	0.03582	0.16289	0.18389	0.03752
CWxx036     	0.01572	0.00000	0.03794	0.07958	0.16480	0.08061	0.01740	0.16178	0.01461	0.01560	0.18400	0.03669	0.01489	0.16967	0.01437	0.01399	0.01530	0.01475	0.19927	0.16574	0.01439	0.01724	0.16924	0.03533	0.15791	0.01554	0.15463	0.08010	0.17208	0.01433	0.03674	0.15620	0.04733	0.16391	0.20660	0.03792	0.03544	0.01454	0.16646	0.16924	0.01438	0.16819	0.03733	0.16694	0.03553	0.01496	0.03452	0.16290	0.18466	0.03790
CWxx005     	0.03807	0.03794	0.00000	0.08001	0.16415	0.08213	0.03886	0.16024	0.03821	0.03807	0.18435	0.03098	0.03710	0.16912	0.03720	0.03667	0.03669	0.03710	0.19895	0.16444	0.03554	0.03733	0.16960	0.01778	0.15671	0.03697	0.15527	0.08142	0.17185	0.03786	0.02053	0.15673	0.05474	0.16371	0.20716	0.01897	0.01726	0.03758	0.16597	0.16983	0.03704	0.16733	0.02038	0.16662	0.02017	0.03710	0.01632	0.16262	0.18598	0.01964
CDxx001     	0.07927	0.07958	0.08001	0.00000	0.16642	0.02670	0.08011	0.16424	0.07862	0.07945	0.18501	0.08057	0.07870	0.17040	0.07812	0.07734	0.07968	0.07811	0.20083	0.16716	0.07799	0.07901	0.17197	0.07891	0.16115	0.07831	0.15710	0.04358	0.17436	0.07876	0.08003	0.15890	0.08330	0.16621	0.20674	0.07939	0.07903	0.07890	0.16896	0.17024	0.07812	0.16835	0.08056	0.16965	0.07892	0.07877	0.07890	0.16595	0.18622	0.08088
PCOxx006    	0.16446	0.16480	0.16415	0.16642	0.00000	0.16519	0.16542	0.08962	0.16306	0.16451	0.16455	0.16513	0.16302	0.11197	0.16303	0.16296	0.16461	0.16335	0.17275	0.05233	0.16354	0.16378	0.05503	0.16329	0.08742	0.16466	0.08366	0.16911	0.06159	0.16356	0.16412	0.08511	0.16749	0.09162	0.18848	0.16498	0.16367	0.16367	0.05486	0.05325	0.16358	0.11054	0.16475	0.05445	0.16297	0.16319	0.16345	0.08977	0.16514	0.16623
CDxx002     	0.08043	0.08061	0.08213	0.02670	0.16519	0.00000	0.08102	0.16588	0.07954	0.07980	0.18523	0.08164	0.07945	0.16911	0.07899	0.07820	0.08046	0.07867	0.19957	0.16650	0.07948	0.07969	0.17096	0.08127	0.16152	0.07967	0.15796	0.04370	0.17391	0.07964	0.08182	0.15916	0.08388	0.16627	0.20600	0.08125	0.08112	0.07982	0.16778	0.17008	0.07865	0.16804	0.08273	0.16833	0.08076	0.07996	0.07983	0.16609	0.18687	0.08161
CWxx037     	0.01707	0.01740	0.03886	0.08011	0.16542	0.08102	0.00000	0.16248	0.01722	0.01761	0.18490	0.03865	0.01668	0.17042	0.01629	0.01760	0.01807	0.01631	0.19862	0.16600	0.01857	0.01918	0.16990	0.03666	0.15889	0.01744	0.15560	0.08097	0.17287	0.01734	0.03773	0.15722	0.04833	0.16484	0.20845	0.03871	0.03635	0.01693	0.16716	0.17074	0.01719	0.16872	0.03860	0.16760	0.03634	0.01638	0.03610	0.16376	0.18521	0.03854
CSTxx003    	0.16131	0.16178	0.16024	0.16424	0.08962	0.16588	0.16248	0.00000	0.16059	0.16160	0.16334	0.16221	0.15992	0.10974	0.15997	0.15969	0.16128	0.15992	0.17036	0.08872	0.15999	0.16050	0.09267	0.16110	0.03338	0.16157	0.04323	0.16690	0.09230	0.16098	0.16146	0.04610	0.16438	0.03453	0.18773	0.16108	0.16114	0.16107	0.09101	0.09308	0.16059	0.10872	0.16186	0.09088	0.15947	0.16066	0.16190	0.02251	0.16389	0.16343
CWxx032     	0.01582	0.01461	0.03821	0.07862	0.16306	0.07954	0.01722	0.16059	0.00000	0.01581	0.18311	0.03654	0.01490	0.16836	0.01493	0.01350	0.01478	0.01492	0.19753	0.16413	0.01422	0.01614	0.16838	0.03482	0.15646	0.01404	0.15423	0.07972	0.17075	0.00118	0.03693	0.15535	0.04701	0.16389	0.20640	0.03789	0.03528	0.00145	0.16509	0.16843	0.01504	0.16681	0.03793	0.16581	0.03599	0.01573	0.03639	0.16185	0.18325	0.03791
CWxx047     	0.01505	0.01560	0.03807	0.07945	0.16451	0.07980	0.01761	0.16160	0.01581	0.00000	0.18383	0.03766	0.01543	0.16930	0.01572	0.01481	0.01599	0.01550	0.19844	0.16506	0.01531	0.01678	0.16863	0.03584	0.15774	0.01638	0.15494	0.07989	0.17183	0.01567	0.03748	0.15604	0.04671	0.16427	0.20672	0.03844	0.03570	0.01556	0.16599	0.16913	0.01445	0.16745	0.03824	0.16648	0.03583	0.01648	0.03512	0.16289	0.18465	0.03672
